tick,iso8601,House,Care Home,OW Agriculture,OW Extraction,OW Manufacturing,OW Energy,OW Water,OW Construction,OW Trade,OW Transport,OW Catering and Accommodation,OW ICT,OW Finance,OW Real Estate,OW Technical,OW Administration,OW Education,OW Entertainment,OW Other Services,Primary School,Secondary School,Restaurant,Outdoor,Car,Public Transport,Shop,Medical,Hospital,Hotel,Place of Worship,Indoor Sport,Cinema or Theatre,Museum or Zoo,Belgium,France,Germany,Cemetery
0,02/23/2020T00:00:00 ,146124,502,1,0,26,2,2,70,36,37,5,23,35,5,60,37,5,1,7,11,3,4472,2007,2780,5,39,8,6,4,0,1,128,118,11225,23650,11275,0
1,02/23/2020T00:10:00 ,147346,502,1,0,26,2,2,70,36,37,5,23,35,5,60,37,5,1,7,11,3,4532,2028,1375,107,39,8,6,4,0,1,128,118,11225,23650,11275,0
2,02/23/2020T00:20:00 ,147883,502,1,0,26,2,2,70,36,37,5,23,35,5,60,37,5,1,7,11,3,4365,1989,1044,107,39,8,6,4,0,1,128,118,11225,23650,11275,0
3,02/23/2020T00:30:00 ,148519,502,1,0,26,2,2,70,36,37,5,23,35,5,60,37,5,1,7,11,3,4226,1648,778,217,39,8,6,4,0,1,128,118,11225,23650,11275,0
4,02/23/2020T00:40:00 ,148857,502,1,0,24,2,2,62,29,35,4,17,35,3,50,31,5,0,6,10,2,3909,1645,819,215,34,7,4,4,0,1,127,118,11225,23650,11275,0
5,02/23/2020T00:50:00 ,149167,502,1,0,24,2,2,62,29,35,4,17,35,3,50,31,5,0,6,10,2,3447,1554,831,446,34,7,4,4,0,1,127,118,11225,23650,11275,0
6,02/23/2020T01:00:00 ,150247,500,1,0,16,1,1,39,23,27,3,9,24,2,35,21,4,0,3,5,1,2940,953,1303,236,27,5,3,4,0,0,127,0,11225,23650,11275,0
7,02/23/2020T01:10:00 ,150255,500,1,0,21,1,1,49,29,28,4,10,25,3,39,24,5,0,4,6,3,2944,874,1327,237,29,6,4,4,0,0,127,0,11225,23650,11275,0
8,02/23/2020T01:20:00 ,150724,500,1,0,16,1,1,39,23,27,3,9,24,2,35,21,4,0,3,5,1,2718,968,1159,236,27,5,3,4,0,0,1,0,11225,23650,11275,0
9,02/23/2020T01:30:00 ,151080,500,1,0,16,1,1,39,23,27,3,9,24,2,35,21,4,0,3,5,1,2537,822,1130,236,27,5,3,4,0,0,1,0,11225,23650,11275,0
10,02/23/2020T01:40:00 ,151474,500,1,0,16,1,1,39,23,27,3,9,24,2,35,21,4,0,3,5,1,2537,822,736,236,27,5,3,4,0,0,1,0,11225,23650,11275,0
11,02/23/2020T01:50:00 ,151729,500,1,0,16,1,1,39,23,27,3,9,24,2,35,21,4,0,3,5,1,2537,822,596,121,27,5,3,4,0,0,1,0,11225,23650,11275,0
12,02/23/2020T02:00:00 ,152187,500,1,0,16,1,1,39,23,27,3,9,24,2,35,21,4,0,3,5,1,1918,912,242,546,27,5,3,4,0,0,1,0,11225,23650,11275,0
13,02/23/2020T02:10:00 ,152255,500,1,0,16,1,1,39,23,27,3,9,24,2,35,21,4,0,3,5,1,1775,1000,114,546,142,5,3,4,0,0,1,0,11225,23650,11275,0
14,02/23/2020T02:20:00 ,152277,500,1,0,16,1,1,39,23,27,3,9,24,2,35,21,4,0,3,5,1,1775,1000,166,472,142,5,3,4,0,0,1,0,11225,23650,11275,0
15,02/23/2020T02:30:00 ,152472,500,1,0,16,1,1,39,23,27,3,9,24,2,35,21,4,0,3,5,1,1549,575,661,433,142,5,3,4,0,0,1,0,11225,23650,11275,0
16,02/23/2020T02:40:00 ,152527,500,1,0,16,1,1,39,23,27,3,9,24,2,35,21,4,0,3,5,1,1549,520,776,433,27,5,3,4,0,0,1,0,11225,23650,11275,0
17,02/23/2020T02:50:00 ,152320,500,1,0,16,1,1,39,23,27,3,9,24,2,35,21,4,0,3,5,1,1468,520,1064,433,27,5,3,4,0,0,1,0,11225,23650,11275,0
18,02/23/2020T03:00:00 ,152923,500,1,0,20,2,1,46,27,28,4,17,30,3,38,24,4,0,4,9,1,1162,396,1192,83,31,5,3,4,0,0,2,0,11225,23650,11275,0
19,02/23/2020T03:10:00 ,153251,500,1,0,20,2,1,46,27,28,4,17,30,3,38,24,4,0,4,9,1,1009,311,1181,4,31,5,3,4,0,0,2,0,11225,23650,11275,0
20,02/23/2020T03:20:00 ,153398,500,1,0,20,2,1,46,27,28,4,17,30,3,38,24,4,0,4,9,1,1040,0,1082,236,31,5,3,4,0,0,2,0,11225,23650,11275,0
21,02/23/2020T03:30:00 ,153521,500,1,0,20,2,1,46,27,28,4,17,30,3,38,24,4,0,4,9,1,1004,0,937,294,31,5,3,4,0,0,2,0,11225,23650,11275,0
22,02/23/2020T03:40:00 ,153816,500,1,0,20,2,1,46,27,28,4,17,30,3,38,24,4,0,4,9,1,931,0,642,367,31,5,3,4,0,0,2,0,11225,23650,11275,0
23,02/23/2020T03:50:00 ,154397,500,1,0,20,2,1,46,27,28,4,17,30,3,38,24,4,0,4,9,1,891,0,174,294,31,5,3,4,0,0,2,0,11225,23650,11275,0
24,02/23/2020T04:00:00 ,154614,502,0,0,25,3,3,84,45,31,3,34,30,5,47,28,3,0,6,7,6,837,55,77,45,48,8,5,5,0,2,1,1,11225,23650,11275,0
25,02/23/2020T04:10:00 ,154663,502,0,0,25,3,3,84,45,31,3,34,30,5,47,28,3,0,6,7,6,837,55,72,1,48,8,5,5,0,2,1,1,11225,23650,11275,0
26,02/23/2020T04:20:00 ,154494,502,0,0,25,3,3,84,45,31,3,34,30,5,47,28,3,0,6,7,6,837,102,194,1,48,8,5,5,0,2,1,1,11225,23650,11275,0
27,02/23/2020T04:30:00 ,154336,502,0,0,25,3,3,84,45,31,3,34,30,5,47,28,3,0,6,7,6,837,102,288,36,77,8,5,5,0,2,1,1,11225,23650,11275,0
28,02/23/2020T04:40:00 ,154187,502,0,0,25,3,3,84,45,31,3,34,30,5,47,28,3,0,6,7,6,837,136,403,65,48,8,5,5,0,2,1,1,11225,23650,11275,0
29,02/23/2020T04:50:00 ,153865,504,0,0,33,3,3,103,52,38,3,44,33,7,61,36,4,1,7,10,6,783,301,518,65,52,9,5,7,0,4,1,2,11225,23650,11275,0
30,02/23/2020T05:00:00 ,153538,505,0,3,42,3,3,132,66,50,6,51,37,9,86,47,6,1,10,12,8,792,181,748,123,62,13,6,9,2,5,2,2,11225,23650,11275,0
31,02/23/2020T05:10:00 ,153471,505,0,4,51,3,4,149,72,62,6,60,45,13,101,56,8,1,14,13,8,555,181,828,228,75,18,6,10,2,7,2,2,11225,23650,11275,0
32,02/23/2020T05:20:00 ,153295,505,0,4,55,3,4,156,80,63,6,67,51,15,109,59,8,1,14,13,8,559,243,860,228,106,18,6,10,3,7,2,2,11225,23650,11275,0
33,02/23/2020T05:30:00 ,152842,508,0,4,58,3,6,168,91,69,7,72,56,17,122,68,9,2,16,14,10,390,239,1385,243,110,20,7,10,3,7,2,2,11225,23650,11275,0
34,02/23/2020T05:40:00 ,152737,509,0,5,70,3,8,219,114,82,10,90,69,20,153,86,12,2,28,17,14,319,247,1415,139,131,22,8,11,5,10,3,2,11225,23650,11275,0
35,02/23/2020T05:50:00 ,152328,510,0,5,81,3,8,239,127,92,10,98,82,23,172,100,14,2,31,19,16,265,317,1594,205,152,25,9,12,5,10,3,3,11225,23650,11275,0
36,02/23/2020T06:00:00 ,152387,522,3,7,131,4,16,390,209,148,20,144,125,34,291,172,24,5,42,26,24,195,162,779,342,242,44,18,16,8,18,6,6,11225,23650,11275,0
37,02/23/2020T06:10:00 ,151894,522,3,7,131,4,16,390,209,148,20,144,125,34,291,172,24,5,42,26,24,175,121,1270,434,213,44,18,16,8,18,6,6,11225,23650,11275,0
38,02/23/2020T06:20:00 ,151677,522,3,7,145,4,20,415,230,152,21,159,137,34,320,183,24,5,45,29,28,191,255,1153,392,289,45,19,16,9,18,7,6,11225,23650,11275,0
39,02/23/2020T06:30:00 ,151415,523,3,7,169,6,22,473,263,178,24,186,154,40,374,219,32,6,55,34,32,152,510,728,565,259,53,22,16,9,18,7,6,11225,23650,11275,0
40,02/23/2020T06:40:00 ,150937,523,3,7,178,6,23,500,278,187,24,193,157,43,394,224,34,6,55,38,35,167,630,878,636,268,56,22,17,9,19,7,6,11225,23650,11275,0
41,02/23/2020T06:50:00 ,150649,530,3,7,204,8,26,578,302,212,27,222,186,50,449,262,38,6,64,44,39,194,580,904,526,299,62,25,21,9,20,8,6,11225,23650,11275,0
42,02/23/2020T07:00:00 ,149296,535,4,10,258,8,36,725,361,266,29,263,223,62,537,310,45,6,70,56,51,232,827,1450,355,358,76,30,26,11,25,10,9,11225,23650,11275,0
43,02/23/2020T07:10:00 ,148972,539,4,10,269,8,38,747,382,281,31,278,229,63,561,325,48,6,74,58,52,239,837,1520,419,375,82,30,26,12,26,10,9,11225,23650,11275,0
44,02/23/2020T07:20:00 ,148520,539,4,11,274,8,41,764,394,282,32,284,239,65,574,330,48,6,76,61,55,242,965,1528,561,454,84,33,28,12,26,10,10,11225,23650,11275,0
45,02/23/2020T07:30:00 ,146406,540,4,12,274,8,42,793,420,290,31,302,242,68,596,350,49,6,78,64,58,249,1880,2446,709,433,86,34,30,12,27,11,10,11225,23650,11275,0
46,02/23/2020T07:40:00 ,145346,540,4,12,281,9,42,828,440,302,31,316,255,73,621,376,50,6,82,66,58,258,2459,2500,890,491,91,35,33,14,27,12,12,11225,23650,11275,0
47,02/23/2020T07:50:00 ,144435,541,6,13,307,9,44,879,467,320,32,334,268,76,662,398,52,7,90,261,248,279,2781,2378,794,644,95,38,36,14,27,12,13,11225,23650,11275,0
48,02/23/2020T08:00:00 ,143051,549,6,17,376,14,49,1043,560,384,37,385,320,95,794,460,59,8,106,315,320,330,2414,2495,762,1227,210,53,44,16,28,16,17,11225,23650,11275,0
49,02/23/2020T08:10:00 ,142941,557,6,24,407,15,52,1152,599,415,43,420,350,102,844,499,66,9,119,322,375,410,1949,2058,704,1709,225,60,46,17,30,16,19,11225,23650,11275,0
50,02/23/2020T08:20:00 ,141600,557,6,25,420,15,53,1189,611,418,43,432,356,105,862,509,67,9,122,324,376,416,2419,2981,710,1516,228,61,47,18,30,16,19,11225,23650,11275,0
51,02/23/2020T08:30:00 ,140114,546,6,24,422,14,51,1155,598,411,43,423,352,104,840,491,64,8,122,323,493,456,2197,3848,1383,1661,223,59,47,18,30,15,19,11225,23650,11275,0
52,02/23/2020T08:40:00 ,138389,551,7,25,455,14,52,1227,631,426,46,448,374,108,885,524,68,8,137,327,494,559,3049,4750,961,1624,228,59,48,17,31,16,22,11225,23650,11275,0
